productid,kmeans_cluster,hac_complete_cluster,hac_single_cluster
B006Y0YZZ6,1,0,0
B006ZP8UOW,1,0,0
B006ZS5ATM,1,0,0
B006ZZ2V9M,1,0,0
B0071BTJPI,1,0,0
B0074BW614,1,0,0
B0075SUK14,1,0,0
B0075W8E4A,1,0,0
B0076POAJE,1,0,0
B0077EVNY4,1,0,0
B007C0Y8NQ,1,0,0
B007I5JT4S,1,0,0
B007P4VOWC,1,0,0
B007SM7O2U,1,0,0
B007WTAJTO,1,2,2
B0081FLFQE,1,0,0
B00825BZUY,1,0,0
B00829TIA4,1,0,0
B00834SJNA,1,0,0
B00871SR68,1,0,0
B0087NZ31S,1,0,0
B00889ST2G,1,0,0
B0088CJT4U,1,0,0
B008ALAHA4,1,0,0
B008CXTX7S,1,0,0
B008DW95NA,1,0,0
B008X9Z7N0,1,0,0
B00906E03I,1,0,0
B0093H4WT6,1,0,0
B009LL9VDG,1,0,0
B009SYZ8OC,1,0,0
B009YQ8BTI,1,0,0
B00AANMVNQ,1,0,0
B00APCMMDG,1,0,0
B00AQDG9BA,1,0,0
B00AQRUW4Q,1,0,0
B00AWKC0JM,1,0,0
B00B2HCLL6,1,0,0
B00B46XUQU,1,0,0
B00B7Q7D4M,1,0,0
B00BD99JSQ,1,0,0
B00BF9MUAS,1,0,0
B00BNIO4H8,1,0,0
B00BOHNYTW,1,0,0
B00CD8ADKO,1,0,0
B00CPGYNV4,1,0,0
B00D02AG7C,1,0,0
B00DBV28TG,1,0,0
B00DR0PDNE,1,0,0
B00E055H5O,1,0,0
B00E3W15P0,2,0,0
B00EN27TCI,1,0,0
B00EVVGAC6,1,0,0
B00F9ZQQ8Q,1,0,0
B00FNPD1OY,1,0,0
B00GR3FMXE,1,0,0
B00HPM1G8Q,1,0,0
B00INNP5VU,1,0,0
B00JC5Y6YA,1,0,0
